City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Saint Charles;Missouri;34.9;32054;36747;68801;4371;5274;2.33;MO;Hispanic or Latino;4070
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;Hispanic or Latino;29647
Temple;Texas;33.6;33512;38785;72297;7333;3968;2.59;TX;American Indian and Alaska Native;1615
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;Hispanic or Latino;13365
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;American Indian and Alaska Native;11146
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;Black or African-American;7533
Vancouver;Washington;37.2;82958;89895;172853;12391;21748;2.49;WA;Asian;10882
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.97;CA;White;92216
Stockton;California;32.5;150976;154674;305650;12822;79583;3.16;CA;White;170878
Eagan;Minnesota;36.8;31587;34701;66288;2699;8642;2.49;MN;Asian;6923
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;Hispanic or Latino;16117
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;White;47614
Irvine;California;34.6;125411;131516;256927;5532;116366;2.73;CA;Black or African-American;8670
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;American Indian and Alaska Native;10801
Youngs;Ohio;37.5;30758;33851;64609;3620;1058;2.22;OH;Asian;247
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;Hispanic or Latino;12236
Clarksville;Tennessee;29.7;75029;74161;149190;20803;8211;2.64;TN;Asian;6348
Ontario;California;31.0;85059;86141;171200;4816;48557;3.52;CA;Black or African-American;12900
Alameda;California;41.4;37747;40867;78614;4504;18841;2.52;CA;American Indian and Alaska Native;1329
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;White;78029
Brandon;Florida;36.1;55679;58289;113968;9417;16390;2.64;FL;Black or African-American;23475
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;Black or African-American;20564
Woodbury;Minnesota;37.7;31982;35868;67850;2732;9477;2.72;MN;Hispanic or Latino;3258
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;Hispanic or Latino;16397
Gilbert;Arizona;33.2;116711;130812;247523;10817;24531;3.2;AZ;Black or African-American;9076
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;American Indian and Alaska Native;1639
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;Black or African-American;22699
South Bend;Indiana;32.4;50483;53274;103757;3708;8779;2.72;IN;Hispanic or Latino;16462
South Bend;Indiana;32.4;50483;53274;103757;3708;8779;2.72;IN;American Indian and Alaska Native;411
Camden;New Jersey;27.9;36437;39694;76131;1425;11317;3.0;NJ;Hispanic or Latino;41473
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;Hispanic or Latino;44080
Lancaster;California;30.9;80668;80445;161113;7892;17247;3.25;CA;American Indian and Alaska Native;2186
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;Black or African-American;2734
Riverview;Florida;32.2;44210;45536;89746;6943;12240;3.22;FL;Asian;3582
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;White;64674
Birmingham;Alabama;35.6;102122;112789;214911;13212;8258;2.21;AL;American Indian and Alaska Native;1319
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Black or African-American;23243
Hammond;Indiana;36.0;38923;38687;77610;4144;9224;2.61;IN;American Indian and Alaska Native;1509
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;Black or African-American;2217
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;American Indian and Alaska Native;9159
Newport News;Virginia;32.8;88385;94000;182385;18896;12589;2.46;VA;Asian;8275
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;White;119814
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;White;155574
Omaha;Nebraska;34.2;218789;225098;443887;24503;48263;2.47;NE;American Indian and Alaska Native;6318
Allen;Texas;37.2;51324;46814;98138;3505;19649;3.04;TX;American Indian and Alaska Native;227
El Paso;Texas;33.1;332797;348339;681136;47693;159709;3.03;TX;White;587683
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;Hispanic or Latino;18772
Shreveport;Louisiana;35.2;93138;103856;196994;14287;5658;2.53;LA;American Indian and Alaska Native;1647
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.53;IL;Asian;195084
Hollywood;Florida;41.4;75358;74363;149721;6056;55158;2.65;FL;Asian;4696
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;Hispanic or Latino;13159
North Richland Hills;Texas;39.9;35257;33948;69205;5175;7854;2.64;TX;American Indian and Alaska Native;1127
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;Hispanic or Latino;1772
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Hispanic or Latino;113829
Cheektowaga;New York;40.7;37476;38599;76075;5408;3532;2.3;NY;Asian;1584
Scottsdale;Arizona;46.9;115712;121132;236844;16798;27207;2.17;AZ;White;205512
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;Hispanic or Latino;57054
Scranton;Pennsylvania;38.5;37975;39137;77112;5059;8069;2.39;PA;Black or African-American;6256
Alhambra;California;41.0;42184;43388;85572;1673;44441;2.89;CA;Asian;44067
Waldorf;Maryland;33.6;35640;39872;75512;6932;5954;2.69;MD;Asian;4100
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;Hispanic or Latino;78571
Skokie;Illinois;43.4;31382;33437;64819;1066;27424;2.78;IL;White;40642
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;Hispanic or Latino;2052
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;White;57815
Lafayette;Louisiana;31.7;64018;63643;127661;5206;5396;2.54;LA;White;85282
Santa Fe;New Mexico;44.1;40601;43511;84112;5083;13824;2.41;NM;American Indian and Alaska Native;2960
Lubbock;Texas;29.2;122320;126731;249051;10588;14226;2.61;TX;White;206318
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;Black or African-American;7721
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.78;CA;Hispanic or Latino;207890
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;Hispanic or Latino;24586
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;Hispanic or Latino;4961
Jersey City;New Jersey;34.3;131765;132512;264277;4374;109186;2.57;NJ;Asian;67610
Akron;Ohio;38.1;96886;100667;197553;12878;10024;2.24;OH;White;129192
Newport Beach;California;46.8;43161;43970;87131;4847;15318;2.4;CA;American Indian and Alaska Native;423
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;Hispanic or Latino;38883
Green Bay;Wisconsin;32.9;52517;52704;105221;5519;9813;2.37;WI;American Indian and Alaska Native;6547
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;Asian;13073
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;American Indian and Alaska Native;1713
Modesto;California;35.2;104852;106405;211257;9855;39613;2.97;CA;Hispanic or Latino;85141
Hillsboro;Oregon;35.3;50926;51434;102360;6625;19531;2.68;OR;Black or African-American;4347
Dale City;Virginia;33.4;35984;35415;71399;6085;22306;3.65;VA;Black or African-American;18074
Escondido;California;33.3;76551;74907;151458;8110;46298;3.27;CA;White;120781
Union City;New Jersey;35.4;35376;33773;69149;705;40553;2.85;NJ;Hispanic or Latino;53174
Upland;California;39.7;36226;40221;76447;2898;16552;2.77;CA;American Indian and Alaska Native;1068
Perris;California;26.9;41623;33336;74959;1321;23277;4.78;CA;Asian;3341
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;Black or African-American;4580
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;Asian;58360
South Gate;California;32.5;47758;48641;96399;724;40571;3.97;CA;American Indian and Alaska Native;618
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;American Indian and Alaska Native;2197
Virginia Beach;Virginia;35.4;222684;230061;452745;54995;38360;2.61;VA;Black or African-American;99948
Santa Maria;California;30.1;53320;51762;105082;2876;39192;3.83;CA;Asian;5058
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Asian;5711
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;White;174670
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;Asian;6850
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;Hispanic or Latino;23863
South Jordan;Utah;33.8;33669;32970;66639;2595;6142;3.61;UT;White;59046
Visalia;California;32.6;63695;66399;130094;5547;20779;3.11;CA;White;107322
Brooklyn Park;Minnesota;35.1;37845;41305;79150;3506;17490;2.85;MN;American Indian and Alaska Native;1173
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;Asian;10804
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;American Indian and Alaska Native;6007
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;White;150136
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;Asian;59958
Davis;California;26.3;33493;34163;67656;2176;13997;2.69;CA;Black or African-American;2081
Hesperia;California;29.4;43588;49698;93286;3739;16667;3.52;CA;American Indian and Alaska Native;1712
Napa;California;37.2;39828;40601;80429;4678;18449;2.84;CA;White;57837
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;Hispanic or Latino;36246
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;Asian;2688
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;White;75429
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;Black or African-American;38976
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;Hispanic or Latino;6368
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;Hispanic or Latino;33016
Casas Adobes;Arizona;44.8;30890;34375;65265;6601;7024;2.24;AZ;Black or African-American;1854
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.97;CA;Black or African-American;5241
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;White;36639
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;Black or African-American;12482
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;American Indian and Alaska Native;3140
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;Asian;558
Clarksville;Tennessee;29.7;75029;74161;149190;20803;8211;2.64;TN;White;104626
Kennewick;Washington;32.0;38492;40411;78903;5158;8376;2.78;WA;Asian;4252
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;White;58696
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;White;97436
New Britain;Connecticut;33.4;37350;35459;72809;2219;15080;2.52;CT;Asian;2297
El Cajon;California;32.7;54450;49238;103688;7103;31865;3.14;CA;Asian;4561
Lorain;Ohio;35.6;30844;32807;63651;4905;1531;2.52;OH;White;46667
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;Asian;1486
Vista;California;29.3;50680;50204;100884;4957;23271;3.52;CA;White;83529
Cicero;Illinois;28.5;43153;40714;83867;629;33801;3.89;IL;American Indian and Alaska Native;964
Pasadena;Texas;31.5;78827;74959;153786;5735;38072;2.95;TX;American Indian and Alaska Native;1993
Spring Hill;Florida;45.1;48295;54902;103197;9737;7893;2.58;FL;White;91742
Merced;California;29.7;40048;42392;82440;3723;16348;3.15;CA;Asian;9911
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;Hispanic or Latino;15762
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;Black or African-American;38358
North Richland Hills;Texas;39.9;35257;33948;69205;5175;7854;2.64;TX;Hispanic or Latino;10195
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;Black or African-American;111673
Chesapeake;Virginia;36.7;114964;120465;235429;29772;13966;2.73;VA;Asian;11354
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Hispanic or Latino;46855
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;Hispanic or Latino;8706
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;American Indian and Alaska Native;445
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;Asian;864
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;American Indian and Alaska Native;2406
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;Black or African-American;2928
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;White;59147
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;Hispanic or Latino;30200
Broomfield;Colorado;36.8;31755;33310;65065;3966;5316;2.53;CO;Black or African-American;1154
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;Hispanic or Latino;45291
Plymouth;Minnesota;38.4;39035;36893;75928;4158;8830;2.46;MN;American Indian and Alaska Native;760
Wyoming;Michigan;32.8;35967;39310;75277;3447;8612;2.65;MI;Asian;3227
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;White;112800
Kenner;Louisiana;36.9;33993;33113;67106;2485;12352;2.57;LA;Hispanic or Latino;17769
Corona;California;37.1;79749;84493;164242;7709;42131;2.97;CA;White;119403
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;White;207274
Norwalk;California;35.0;53125;54020;107145;3027;39396;3.88;CA;American Indian and Alaska Native;1165
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.72;NC;Asian;3566
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;Asian;9839
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;American Indian and Alaska Native;1172
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;Asian;3182
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;American Indian and Alaska Native;237
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;Black or African-American;901
West Jordan;Utah;30.8;57898;54044;111942;3577;11492;3.46;UT;Asian;3539
Beaumont;Texas;31.6;57326;60784;118110;7584;10516;2.47;TX;White;53597
Beaumont;Texas;31.6;57326;60784;118110;7584;10516;2.47;TX;Black or African-American;58008
Lubbock;Texas;29.2;122320;126731;249051;10588;14226;2.61;TX;Black or African-American;23594
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;Asian;6641
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;American Indian and Alaska Native;613
Baldwin Park;California;35.8;38747;38309;77056;780;34322;4.13;CA;Black or African-American;1560
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;Black or African-American;118228
Augusta-Richmond County consolidated government;Georgia;33.7;94662;101917;196579;19085;7915;2.67;GA;American Indian and Alaska Native;1667
Saint Paul;Minnesota;31.5;149547;151293;300840;10548;56514;2.58;MN;White;191369
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;White;55741
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;Hispanic or Latino;219038
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;Hispanic or Latino;60569
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;American Indian and Alaska Native;5305
Hillsboro;Oregon;35.3;50926;51434;102360;6625;19531;2.68;OR;Asian;13704
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;Black or African-American;6420
Pearland;Texas;33.9;52336;59329;111665;5621;16882;3.0;TX;Asian;14683
Rockford;Illinois;36.3;71076;78270;149346;8894;18323;2.52;IL;Asian;5500
Allen;Pennsylvania;33.5;60626;59581;120207;5691;19652;2.67;PA;Hispanic or Latino;59176
Salem;Oregon;35.4;80839;83704;164543;9685;19668;2.69;OR;White;148650
Santa Maria;California;30.1;53320;51762;105082;2876;39192;3.83;CA;White;90403
Roseville;California;38.4;62591;67691;130282;8386;18161;2.72;CA;Black or African-American;4413
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Hispanic or Latino;13065
Sparks;Nevada;36.1;47780;48318;96098;7315;15690;2.63;NV;White;78737
Visalia;California;32.6;63695;66399;130094;5547;20779;3.11;CA;Hispanic or Latino;63482
Visalia;California;32.6;63695;66399;130094;5547;20779;3.11;CA;Black or African-American;2525
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;American Indian and Alaska Native;1232
Schaumburg;Illinois;36.9;35971;39840;75811;2019;24614;2.72;IL;White;43688
Pueblo;Colorado;37.6;55635;53784;109419;7989;3578;2.44;CO;Black or African-American;4107
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;White;204114
Nashua;New Hampshire;38.3;42926;45049;87975;5532;12693;2.46;NH;American Indian and Alaska Native;655
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;White;53919
Davis;California;26.3;33493;34163;67656;2176;13997;2.69;CA;Asian;17816
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.72;FL;Black or African-American;11005
Vancouver;Washington;37.2;82958;89895;172853;12391;21748;2.49;WA;White;149863
Phoenix;Arizona;33.8;786833;776168;1563001;72388;300702;2.89;AZ;American Indian and Alaska Native;41748
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;American Indian and Alaska Native;893
South San Francisco;California;39.4;34177;33094;67271;1839;27528;3.33;CA;White;28135
South San Francisco;California;39.4;34177;33094;67271;1839;27528;3.33;CA;Asian;23008
East Los Angeles;California;32.6;60460;59206;119666;1101;49575;3.75;CA;Black or African-American;508
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;White;66825
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;Black or African-American;85606
Ontario;California;31.0;85059;86141;171200;4816;48557;3.52;CA;Hispanic or Latino;118292
Bossier City;Louisiana;32.7;33428;34669;68097;8108;2980;2.4;LA;Asian;2175
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;Asian;2494
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;Hispanic or Latino;9075
Pittsburg;California;34.5;33309;36118;69427;2109;21043;3.15;CA;Hispanic or Latino;28605
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;Hispanic or Latino;4614
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;Hispanic or Latino;5924
Roswell;Georgia;38.8;48637;45859;94496;3325;16501;2.7;GA;American Indian and Alaska Native;585
Newport News;Virginia;32.8;88385;94000;182385;18896;12589;2.46;VA;White;95151
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;Asian;12209
Sterling Heights;Michigan;39.6;64985;67077;132062;6970;34313;2.66;MI;Asian;12264
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Black or African-American;3091
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;Asian;27662
Temple;Texas;33.6;33512;38785;72297;7333;3968;2.59;TX;Hispanic or Latino;21372
Arden-Arcade;California;41.5;47596;48680;96276;6511;13458;2.18;CA;Hispanic or Latino;15273
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.72;FL;Hispanic or Latino;35311
Pasadena;Texas;31.5;78827;74959;153786;5735;38072;2.95;TX;White;140240
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;Asian;6566
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.97;CO;Asian;7034
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;White;48670
El Paso;Texas;33.1;332797;348339;681136;47693;159709;3.03;TX;Black or African-American;34473
Lexington-Fayette  county;Kentucky;34.4;154032;160456;314488;16661;28613;2.34;KY;White;249339
